Sample #,RandomID,Hair ID,Rapid Genomics ID,Site ID,Week,Check Date,Strand,Sample Quality,DNR ID,Database ID,PIT Tag,Bear,Sex,Year,Date,County,Region,What,Plate,Follicles,Abnormalitiy?,Comments,Address,Latitude,Longitude,,
145,149,149-23,UGA_173101_P002_WA08,HS 021,3,6/27/23,T,10+,,,,,,2023,6/27/23,Houston,CGA,Hair Snare,2,6,,,,32.41182,-83.50189,,
146,150,150-23,UGA_173101_P002_WB08,HS 027,5,7/11/23,B,6 to 10,,,,,,2023,7/11/23,Houston,CGA,Hair Snare,2,5,,,,32.44472,-83.50545,,
147,151,151-23,UGA_173101_P002_WC08,HS 101,3,6/30/23,T,10+,,,,,,2023,6/30/23,Twiggs,CGA,Hair Snare,2,9,,Not Good Follicles,,32.50851,-83.39172,,
148,152,152-23,UGA_173101_P002_WD08,HS 018,1,6/14/23,T,10+,,,,,,2023,6/14/23,Houston,CGA,Hair Snare,2,10,,,,32.40838,-83.56051,,
149,153,153-23,UGA_173101_P002_WE08,HS 005,5,7/12/23,B,10+,,,,,,2023,7/12/23,Houston,CGA,Hair Snare,2,10,,,,32.40774,-83.62762,,
150,154,154-23,UGA_173101_P002_WF08,HS 068,4,7/8/23,B,6 to 10,,,,,,2023,7/8/23,Bleckley,CGA,Hair Snare,2,5,,,,32.43761,-83.46568,,
151,155,155-23,UGA_173101_P002_WH08,HS 068,3,7/1/23,B,6 to 10,,,,,,2023,7/1/23,Bleckley,CGA,Hair Snare,2,6,,,,32.43761,-83.46568,,
152,156,156-23,UGA_173101_P002_WA09,HS 103,6,7/20/23,B,10+,,,,,,2023,7/20/23,Twiggs,CGA,Hair Snare,2,8,,,,32.51700,-83.40373,,
153,157,157-23,UGA_173101_P002_WB09,HS 050,6,7/20/23,T,10+,,,,,,2023,7/20/23,Houston,CGA,Hair Snare,2,7,,,,32.50752,-83.55628,,
154,158,158-23,UGA_173101_P002_WC09,HS 068,3,7/1/23,T,6 to 10,,,,,,2023,7/1/23,Bleckley,CGA,Hair Snare,2,8,,,,32.43761,-83.46568,,
155,159,159-23,UGA_173101_P002_WD09,HS 101,3,6/30/23,B,10+,,,,,,2023,6/30/23,Twiggs,CGA,Hair Snare,2,10,,,,32.50851,-83.39172,,
156,160,160-23,UGA_173101_P002_WE09,HS 027,6,7/18/23,T,10+,,,,,,2023,7/18/23,Houston,CGA,Hair Snare,2,7,,,,32.44472,-83.50545,,
157,161,161-23,UGA_173101_P002_WF09,HS 118,1,6/17/23,T,10+,,,,,,2023,6/17/23,Twiggs,CGA,Hair Snare,2,10,,,,32.56782,-83.52305,,
158,162,162-23,UGA_173101_P002_WG09,HS 042,4,7/6/23,T,10+,,,,,,2023,7/6/23,Houston,CGA,Hair Snare,2,10,,,,32.48712,-83.55912,,
159,163,163-23,UGA_173101_P002_WH09,HS 101,2,6/22/23,B,6 to 10,,,,,,2023,6/22/23,Twiggs,CGA,Hair Snare,2,5,,,,32.50851,-83.39172,,
160,164,164-23,UGA_173101_P002_WA10,HS 068,4,7/8/23,T,6 to 10,,,,,,2023,7/8/23,Bleckley,CGA,Hair Snare,2,5,,,,32.43761,-83.46568,,
161,165,165-23,UGA_173101_P002_WB10,HS 051,4,7/6/23,T,10+,,,,,,2023,7/6/23,Houston,CGA,Hair Snare,2,9,,,,32.50791,-83.54721,,
162,166,166-23,UGA_173101_P002_WC10,HS 096,6,7/22/23,T,10+,,,,,,2023,7/22/23,Twiggs,CGA,Hair Snare,2,10,,,,32.51902,-83.43392,,
163,167,167-23,UGA_173101_P002_WD10,HS 046,6,7/20/23,T,10+,,,,,,2023,7/20/23,Houston,CGA,Hair Snare,2,12,,,,32.50079,-83.56544,,
164,168,168-23,UGA_173101_P002_WE10,HS 051,3,6/29/23,B,6 to 10,,,,,,2023,6/29/23,Houston,CGA,Hair Snare,2,8,,,,32.50791,-83.54721,,
165,169,169-23,UGA_173101_P002_WF10,HS 025,6,7/18/23,B,10+,,,,,,2023,7/18/23,Houston,CGA,Hair Snare,2,12,,,,32.43851,-83.49664,,
166,170,170-23,UGA_173101_P002_WG10,HS 101,3,6/30/23,B,10+,,,,,,2023,6/30/23,Twiggs,CGA,Hair Snare,2,6,,,,32.50851,-83.39172,,
167,171,171-23,UGA_173101_P002_WH10,HS 066,5,7/13/23,T,10+,,,,,,2023,7/13/23,Bleckley,CGA,Hair Snare,2,4,,Not Good Follicles,,32.42799,-83.46671,,
168,172,172-23,UGA_173101_P002_WA11,HS 051,7,7/27/23,T,10+,,,,,,2023,7/27/23,Houston,CGA,Hair Snare,2,6,,,,32.50791,-83.54721,,
169,173,173-23,UGA_173101_P002_WC11,HS 066,5,7/13/23,B,10+,,,,,,2023,7/13/23,Bleckley,CGA,Hair Snare,2,5,,,,32.42799,-83.46671,,
170,175,175-23,UGA_173101_P002_WD11,HS 065,6,7/19/23,B,10+,,,,,,2023,7/19/23,Bleckley,CGA,Hair Snare,2,5,,,,32.42075,-83.45467,,
171,176,176-23,UGA_173101_P002_WE11,HS 042,7,7/27/23,T,10+,,,,,,2023,7/27/23,Houston,CGA,Hair Snare,2,10,,,,32.48712,-83.55912,,
172,177,177-23,UGA_173101_P002_WF11,HS 040,6,7/18/23,T,10+,,,,,,2023,7/18/23,Houston,CGA,Hair Snare,2,5,,,,32.47500,-83.52335,,
173,178,178-23,UGA_173101_P002_WG11,HS 066,6,7/19/23,T,10+,,,,,,2023,7/19/23,Bleckley,CGA,Hair Snare,2,10,,,,32.42799,-83.46671,,
174,179,179-23,UGA_173101_P002_WH11,HS 027,7,7/25/23,B,10+,,,,,,2023,7/25/23,Houston,CGA,Hair Snare,2,10,,Blaze?,,32.44472,-83.50545,,
175,180,180-23,UGA_173101_P002_WA12,HS 044,3,6/27/23,T,10+,,,,,,2023,6/27/23,Houston,CGA,Hair Snare,2,11,,,,32.48715,-83.51058,,
176,181,181-23,UGA_173101_P002_WB12,HS 032,6,7/19/23,T,10+,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,2,10,,,,32.45173,-83.51407,,
177,182,182-23,UGA_173101_P002_WB11,HS 066,5,7/13/23,T,10+,,,,,,2023,7/13/23,Bleckley,CGA,Hair Snare,2,5,,,,32.42799,-83.46671,,
177,182,182-23,UGA_173101_P002_WC12,HS 066,5,7/13/23,T,10+,,,,,,2023,7/13/23,Bleckley,CGA,Hair Snare,2,6,,,,32.42799,-83.46671,,
178,183,183-23,UGA_173101_P002_WD12,HS 008,4,7/6/23,T,10+,,,,,,2023,7/6/23,Houston,CGA,Hair Snare,2,5,,,,32.41673,-83.59290,,
179,184,184-23,UGA_173101_P002_WE12,HS 042,4,7/6/23,B,6 to 10,,,,,,2023,7/6/23,Houston,CGA,Hair Snare,2,8,,,,32.48712,-83.55912,,
180,185,185-23,UGA_173101_P002_WF12,HS 126,4,7/6/23,B,10+,,,,,,2023,7/6/23,Twiggs,CGA,Hair Snare,2,6,,,,32.59076,-83.44125,,
181,186,186-23,UGA_173101_P002_WG12,HS 040,6,7/18/23,B,10+,,,,,,2023,7/18/23,Houston,CGA,Hair Snare,2,10,,,,32.47500,-83.52335,,
182,187,187-23,UGA_173101_P002_WH12,HS 027,5,7/11/23,T,10+,,,,,,2023,7/11/23,Houston,CGA,Hair Snare,2,7,,,,32.44472,-83.50545,,
183,188,188-23,UGA_173101_P003_WA01,HS 027,4,7/4/23,T,10+,,,,,,2023,7/4/23,Houston,CGA,Hair Snare,3,14,,,,32.44472,-83.50545,,
184,189,189-23,UGA_173101_P003_WB01,HS 012,3,6/28/23,T,10+,,,,,,2023,6/28/23,Houston,CGA,Hair Snare,3,13,,,,32.39073,-83.56828,,
185,190,190-23,UGA_173101_P003_WC01,HS 025,5,7/11/23,T,10+,,,,,,2023,7/11/23,Houston,CGA,Hair Snare,3,8,,,,32.43851,-83.49664,,
186,191,191-23,UGA_173101_P003_WD01,HS 025,6,7/18/23,T,10+,,,,,,2023,7/18/23,Houston,CGA,Hair Snare,3,12,,,,32.43851,-83.49664,,
187,192,192-23,UGA_173101_P003_WE01,HS 030,3,6/28/23,B,10+,,,,,,2023,6/28/23,Houston,CGA,Hair Snare,3,8,,,,32.45655,-83.54399,,
188,193,193-23,UGA_173101_P003_WF01,HS 009,4,7/5/23,B,6 to 10,,,,,,2023,7/5/23,Houston,CGA,Hair Snare,3,10,,,,32.38062,-83.55952,,
189,194,194-23,UGA_173101_P003_WG01,HS 078,5,7/14/23,B,10+,,,,,,2023,7/14/23,Twiggs,CGA,Hair Snare,3,11,,,,32.48743,-83.45378,,
190,195,195-23,UGA_173101_P003_WE07,HS 116,5,7/13/23,T,10+,,,,,,2023,7/13/23,Twiggs,CGA,Hair Snare,3,10,,,,32.55930,-83.45468,,
190,195,195-23,UGA_173101_P003_WH01,HS 116,5,7/13/23,T,10+,,,,,,2023,7/13/23,Twiggs,CGA,Hair Snare,3,10,,,,32.55930,-83.45468,,
191,196,196-23,UGA_173101_P003_WA02,HS 116,6,7/20/23,T,10+,,,,,,2023,7/20/23,Twiggs,CGA,Hair Snare,3,9,,,,32.55930,-83.45468,,
192,197,197-23,UGA_173101_P003_WB02,HS 066,6,7/19/23,T,10+,,,,,,2023,7/19/23,Bleckley,CGA,Hair Snare,3,9,,,,32.42799,-83.46671,,
193,198,198-23,UGA_173101_P003_WD02,HS 089,6,7/19/23,B,6 to 10,,,,,,2023,7/19/23,Twiggs,CGA,Hair Snare,3,4,,,,32.50342,-83.43740,,
194,199,199-23,UGA_173101_P003_WE02,HS 042,3,6/29/23,T,6 to 10,,,,,,2023,6/29/23,Houston,CGA,Hair Snare,3,8,,,,32.48712,-83.55912,,
195,200,200-23,UGA_173101_P003_WF02,HS 027,5,7/11/23,B,10+,,,,,,2023,7/11/23,Houston,CGA,Hair Snare,3,12,,,,32.44472,-83.50545,,
196,201,201-23,UGA_173101_P003_WG02,HS 046,6,7/20/23,T,10+,,,,,,2023,7/20/23,Houston,CGA,Hair Snare,3,20,,,,32.50079,-83.56544,,
197,202,202-23,UGA_173101_P003_WH02,HS 068,7,7/29/23,B,10+,,,,,,2023,7/29/23,Bleckley,CGA,Hair Snare,3,15,,,,32.43761,-83.46568,,
198,203,203-23,UGA_173101_P003_WB03,HS 068,4,7/8/23,B,10+,,,,,,2023,7/8/23,Bleckley,CGA,Hair Snare,3,15,,,,32.43761,-83.46568,,
199,204,204-23,UGA_173101_P003_WC03,HS 008,3,6/29/23,T,10+,,,,,,2023,6/29/23,Houston,CGA,Hair Snare,3,8,,,,32.41673,-83.59290,,
200,205,205-23,UGA_173101_P003_WD03,HS 051,7,7/27/23,B,6 to 10,,,,,,2023,7/27/23,Houston,CGA,Hair Snare,3,10,,,,32.50791,-83.54721,,
201,206,206-23,UGA_173101_P003_WE03,HS 027,5,7/11/23,T,10+,,,,,,2023,7/11/23,Houston,CGA,Hair Snare,3,19,,,,32.44472,-83.50545,,
202,207,207-23,UGA_173101_P003_WF03,HS 046,4,7/6/23,T,10+,,,,,,2023,7/6/23,Houston,CGA,Hair Snare,3,22,,,,32.50079,-83.56544,,
203,208,208-23,UGA_173101_P003_WG03,HS 089,3,6/28/23,T,10+,,,,,,2023,6/28/23,Twiggs,CGA,Hair Snare,3,8,,,,32.50342,-83.43740,,
204,209,209-23,UGA_173101_P003_WH03,HS 025,7,7/25/23,B,10+,,,,,,2023,7/25/23,Houston,CGA,Hair Snare,3,14,,,,32.43851,-83.49664,,
205,210,210-23,UGA_173101_P003_WA04,HS 114,2,6/23/23,B,10+,,,,,,2023,6/23/23,Twiggs,CGA,Hair Snare,3,10,,,,32.56337,-83.49266,,
206,211,211-23,UGA_173101_P003_WB04,HS 070,3,7/1/23,T,10+,,,,,,2023,7/1/23,Bleckley,CGA,Hair Snare,3,12,,,,32.44693,-83.45346,,
207,212,212-23,UGA_173101_P003_WC04,HS 027,6,7/18/23,T,10+,,,,,,2023,7/18/23,Houston,CGA,Hair Snare,3,9,,,,32.44472,-83.50545,,
208,213,213-23,UGA_173101_P003_WD04,HS 066,6,7/19/23,B,10+,,,,,,2023,7/19/23,Bleckley,CGA,Hair Snare,3,14,,,,32.42799,-83.46671,,
209,214,214-23,UGA_173101_P003_WE04,HS 046,6,7/20/23,B,6 to 10,,,,,,2023,7/20/23,Houston,CGA,Hair Snare,3,13,,,,32.50079,-83.56544,,
210,215,215-23,UGA_173101_P003_WF04,HS 007,3,6/29/23,B,10+,,,,,,2023,6/29/23,Houston,CGA,Hair Snare,3,10,,,,32.41777,-83.60471,,
211,216,216-23,UGA_173101_P003_WH04,HS 009,7,7/26/23,T,6 to 10,,,,,,2023,7/26/23,Houston,CGA,Hair Snare,3,10,,,,32.38062,-83.55952,,
212,217,217-23,UGA_173101_P003_WA05,HS 042,7,7/27/23,B,6 to 10,,,,,,2023,7/27/23,Houston,CGA,Hair Snare,3,9,,,,32.48712,-83.55912,,
213,218,218-23,UGA_173101_P003_WB05,HS 089,3,6/28/23,T,10+,,,,,,2023,6/28/23,Twiggs,CGA,Hair Snare,3,8,,,,32.50342,-83.43740,,
214,219,219-23,UGA_173101_P003_WC05,HS 130,2,6/24/23,T,10+,,,,,,2023,6/24/23,Twiggs,CGA,Hair Snare,3,10,,,,32.61567,-83.50919,,
215,220,220-23,UGA_173101_P003_WD05,HS 001,7,7/28/23,T,10+,,,,,,2023,7/28/23,Houston,CGA,Hair Snare,3,10,,,,32.38816,-83.67687,,
216,221,221-23,UGA_173101_P003_WE05,HS 118,1,6/17/23,B,6 to 10,,,,,,2023,6/17/23,Twiggs,CGA,Hair Snare,3,3,,,,32.56782,-83.52305,,
217,222,222-23,UGA_173101_P003_WF05,HS 030,6,7/19/23,B,10+,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,3,14,,,,32.45655,-83.54399,,
218,223,223-23,UGA_173101_P003_WG05,HS 025,6,7/18/23,B,10+,,,,,,2023,7/18/23,Houston,CGA,Hair Snare,3,20,,,,32.43851,-83.49664,,
219,224,224-23,UGA_173101_P003_WH05,HS 070,6,7/22/23,B,10+,,,,,,2023,7/22/23,Bleckley,CGA,Hair Snare,3,8,,,,32.44693,-83.45346,,
220,225,225-23,UGA_173101_P003_WB06,HS 132,4,7/6/23,B,6 to 10,,,,,,2023,7/6/23,Twiggs,CGA,Hair Snare,3,7,,,,32.62112,-83.44886,,
221,226,226-23,UGA_173101_P003_WC06,HS 127,4,7/8/23,B,10+,,,,,,2023,7/8/23,Twiggs,CGA,Hair Snare,3,10,,,,32.60175,-83.50735,,
222,227,227-23,UGA_173101_P003_WC02,HS 027,5,7/11/23,B,10+,,,,,,2023,7/11/23,Houston,CGA,Hair Snare,3,8,,,,32.44472,-83.50545,,
222,227,227-23,UGA_173101_P003_WD06,HS 027,5,7/11/23,B,10+,,,,,,2023,7/11/23,Houston,CGA,Hair Snare,3,8,,,,32.44472,-83.50545,,
223,228,228-23,UGA_173101_P003_WE06,HS 032,6,7/19/23,T,10+,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,3,15,,,,32.45173,-83.51407,,
224,229,229-23,UGA_173101_P003_WF06,HS 027,6,7/18/23,T,10+,,,,,,2023,7/18/23,Houston,CGA,Hair Snare,3,10,,,,32.44472,-83.50545,,
225,230,230-23,UGA_173101_P003_WG06,HS 066,6,7/19/23,B,10+,,,,,,2023,7/19/23,Bleckley,CGA,Hair Snare,3,11,,,,32.42799,-83.46671,,
226,231,231-23,UGA_173101_P003_WH06,HS 068,4,7/8/23,T,6 to 10,,,,,,2023,7/8/23,Bleckley,CGA,Hair Snare,3,3,,,,32.43761,-83.46568,,
227,232,232-23,UGA_173101_P003_WA07,HS 078,3,6/30/23,B,6 to 10,,,,,,2023,6/30/23,Twiggs,CGA,Hair Snare,3,7,,,,32.48743,-83.45378,,
228,233,233-23,UGA_173101_P003_WB07,HS 042,7,7/27/23,T,6 to 10,,,,,,2023,7/27/23,Houston,CGA,Hair Snare,3,6,,,,32.48712,-83.55912,,
229,234,234-23,UGA_173101_P003_WC07,HS 005,5,7/12/23,T,10+,,,,,,2023,7/12/23,Houston,CGA,Hair Snare,3,12,,,,32.40774,-83.62762,,
230,235,235-23,UGA_173101_P003_WD07,HS 002,7,7/28/23,B,6 to 10,,,,,,2023,7/28/23,Houston,CGA,Hair Snare,3,8,,,,32.39388,-83.59598,,
231,236,236-23,UGA_173101_P003_WF07,HS 032,4,7/5/23,T,10+,,,,,,2023,7/5/23,Houston,CGA,Hair Snare,3,9,,,,32.45173,-83.51407,,
232,237,237-23,UGA_173101_P003_WG07,HS 066,5,7/13/23,B,10+,,,,,,2023,7/13/23,Bleckley,CGA,Hair Snare,3,13,,,,32.42799,-83.46671,,
233,238,238-23,UGA_173101_P003_WH07,HS 070,3,7/1/23,T,10+,,,,,,2023,7/1/23,Bleckley,CGA,Hair Snare,3,7,,,,32.44693,-83.45346,,
234,239,239-23,UGA_173101_P003_WA08,HS 101,3,6/30/23,B,10+,,,,,,2023,6/30/23,Twiggs,CGA,Hair Snare,3,9,,,,32.50851,-83.39172,,
235,240,240-23,UGA_173101_P003_WB08,HS 028,2,6/21/23,T,6 to 10,,,,,,2023,6/21/23,Houston,CGA,Hair Snare,3,5,,,,32.45919,-83.57036,,
236,241,241-23,UGA_173101_P003_WC08,HS 024,7,7/25/23,T,10+,,,,,,2023,7/25/23,Houston,CGA,Hair Snare,3,10,,,,32.42737,-83.49335,,
236,241,241-23,UGA_173101_P003_WG04,HS 024,7,7/25/23,T,10+,,,,,,2023,7/25/23,Houston,CGA,Hair Snare,3,15,,,,32.42737,-83.49335,,
237,242,242-23,UGA_173101_P003_WD08,HS 021,3,6/27/23,T,6 to 10,,,,,,2023,6/27/23,Houston,CGA,Hair Snare,3,3,,,,32.41182,-83.50189,,
238,243,243-23,UGA_173101_P003_WE08,HS 032,6,7/19/23,T,10+,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,3,12,,,,32.45173,-83.51407,,
239,244,244-23,UGA_173101_P003_WF08,HS 070,3,7/1/23,T,10+,,,,,,2023,7/1/23,Bleckley,CGA,Hair Snare,3,10,,,,32.44693,-83.45346,,
240,245,245-23,UGA_173101_P003_WG08,HS 008,3,6/29/23,B,6 to 10,,,,,,2023,6/29/23,Houston,CGA,Hair Snare,3,5,,,,32.41673,-83.59290,,
241,246,246-23,UGA_173101_P003_WH08,HS 044,3,6/27/23,T,6 to 10,,,,,,2023,6/27/23,Houston,CGA,Hair Snare,3,5,,,,32.48715,-83.51058,,
242,247,247-23,UGA_173101_P003_WA09,HS 008,4,7/6/23,T,10+,,,,,,2023,7/6/23,Houston,CGA,Hair Snare,3,13,,,,32.41673,-83.59290,,
243,248,248-23,UGA_173101_P003_WB09,HS 012,1,6/15/23,B,10+,,,,,,2023,6/15/23,Houston,CGA,Hair Snare,3,5,,,,32.39073,-83.56828,,
244,249,249-23,UGA_173101_P003_WC09,HS 101,3,6/30/23,B,10+,,,,,,2023,6/30/23,Twiggs,CGA,Hair Snare,3,9,,,,32.50851,-83.39172,,
245,250,250-23,UGA_173101_P003_WD09,HS 066,5,7/13/23,B,10+,,,,,,2023,7/13/23,Bleckley,CGA,Hair Snare,3,10,,,,32.42799,-83.46671,,
246,251,251-23,UGA_173101_P003_WA06,HS 078,2,6/22/23,T,10+,,,,,,2023,6/22/23,Twiggs,CGA,Hair Snare,3,12,,,,32.48743,-83.45378,,
246,251,251-23,UGA_173101_P003_WE09,HS 078,2,6/22/23,T,10+,,,,,,2023,6/22/23,Twiggs,CGA,Hair Snare,3,10,,,,32.48743,-83.45378,,
247,252,252-23,UGA_173101_P003_WF09,HS 066,5,7/13/23,T,10+,,,,,,2023,7/13/23,Bleckley,CGA,Hair Snare,3,6,,,,32.42799,-83.46671,,
248,253,253-23,UGA_173101_P003_WG09,HS 032,6,7/19/23,B,10+,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,3,15,,,,32.45173,-83.51407,,
249,254,254-23,UGA_173101_P003_WH09,HS 068,3,7/1/23,T,10+,,,,,,2023,7/1/23,Bleckley,CGA,Hair Snare,3,9,,,,32.43761,-83.46568,,
250,255,255-23,UGA_173101_P003_WA10,HS 066,5,7/13/23,B,10+,,,,,,2023,7/13/23,Bleckley,CGA,Hair Snare,3,11,,,,32.42799,-83.46671,,
251,256,256-23,UGA_173101_P003_WB10,HS 101,3,6/30/23,B,10+,,,,,,2023,6/30/23,Twiggs,CGA,Hair Snare,3,10,,,,32.50851,-83.39172,,
252,257,257-23,UGA_173101_P003_WC10,HS 030,6,7/19/23,T,10+,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,3,12,,,,32.45655,-83.54399,,
253,259,259-23,UGA_173101_P003_WD10,HS 070,7,7/29/23,B,10+,,,,,,2023,7/29/23,Bleckley,CGA,Hair Snare,3,11,,,,32.44693,-83.45346,,
254,260,260-23,UGA_173101_P003_WE10,HS 101,3,6/30/23,T,10+,,,,,,2023,6/30/23,Twiggs,CGA,Hair Snare,3,7,,,,32.50851,-83.39172,,
255,261,261-23,UGA_173101_P003_WF10,HS 040,4,7/4/23,B,10+,,,,,,2023,7/4/23,Houston,CGA,Hair Snare,3,6,,,,32.47500,-83.52335,,
256,262,262-23,UGA_173101_P003_WG10,HS 024,3,6/27/23,B,10+,,,,,,2023,6/27/23,Houston,CGA,Hair Snare,3,9,,,,32.42737,-83.49335,,
257,263,263-23,UGA_173101_P003_WH10,HS 110,7,7/28/23,T,10+,,,,,,2023,7/28/23,Twiggs,CGA,Hair Snare,3,8,,,,32.54697,-83.47593,,
258,264,264-23,UGA_173101_P003_WA11,HS 028,2,6/21/23,T,6 to 10,,,,,,2023,6/21/23,Houston,CGA,Hair Snare,3,6,,,,32.45919,-83.57036,,
259,265,265-23,UGA_173101_P003_WB11,HS 101,3,6/30/23,T,10+,,,,,,2023,6/30/23,Twiggs,CGA,Hair Snare,3,9,,,,32.50851,-83.39172,,
260,266,266-23,UGA_173101_P003_WC11,HS 065,7,7/26/23,T,10+,,,,,,2023,7/26/23,Bleckley,CGA,Hair Snare,3,15,,,,32.42075,-83.45467,,
261,267,267-23,UGA_173101_P003_WD11,HS 042,5,7/13/23,T,10+,,,,,,2023,7/13/23,Houston,CGA,Hair Snare,3,14,,,,32.48712,-83.55912,,
262,268,268-23,UGA_173101_P003_WE11,HS 066,5,7/13/23,T,10+,,,,,,2023,7/13/23,Bleckley,CGA,Hair Snare,3,10,,,,32.42799,-83.46671,,
263,269,269-23,UGA_173101_P003_WF11,HS 044,3,6/27/23,B,10+,,,,,,2023,6/27/23,Houston,CGA,Hair Snare,3,12,,,,32.48715,-83.51058,,
264,270,270-23,UGA_173101_P003_WG11,HS 030,6,7/19/23,B,10+,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,3,20,,,,32.45655,-83.54399,,
265,271,271-23,UGA_173101_P003_WH11,HS 025,6,7/18/23,T,10+,,,,,,2023,7/18/23,Houston,CGA,Hair Snare,3,14,,,,32.43851,-83.49664,,
266,272,272-23,UGA_173101_P003_WA12,HS 009,6,7/19/23,T,10+,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,3,15,,,,32.38062,-83.55952,,
267,273,273-23,UGA_173101_P003_WB12,HS 068,7,7/29/23,T,6 to 10,,,,,,2023,7/29/23,Bleckley,CGA,Hair Snare,3,7,,,,32.43761,-83.46568,,
268,274,274-23,UGA_173101_P003_WC12,HS 007,7,7/28/23,T,6 to 10,,,,,,2023,7/28/23,Houston,CGA,Hair Snare,3,9,,,,32.41777,-83.60471,,
269,275,275-23,UGA_173101_P003_WD12,HS 109,2,6/23/23,T,10+,,,,,,2023,6/23/23,Twiggs,CGA,Hair Snare,3,10,,,,32.55027,-83.48756,,
270,276,276-23,UGA_173101_P003_WE12,HS 101,4,7/7/23,B,10+,,,,,,2023,7/7/23,Twiggs,CGA,Hair Snare,3,20,,,,32.50851,-83.39172,,
271,277,277-23,UGA_173101_P003_WF12,HS 025,5,7/11/23,T,10+,,,,,,2023,7/11/23,Houston,CGA,Hair Snare,3,17,,,,32.43851,-83.49664,,
272,278,278-23,UGA_173101_P003_WG12,HS 045,7,7/27/23,T,6 to 10,,,,,,2023,7/27/23,Houston,CGA,Hair Snare,3,9,,,,32.49782,-83.57367,,
273,279,279-23,UGA_173101_P003_WH12,HS 005,3,6/29/23,T,10+,,,,,,2023,6/29/23,Houston,CGA,Hair Snare,3,7,,,,32.40774,-83.62762,,
274,280,280-23,UGA_173101_P004_WA01,HS 127,4,7/8/23,T,10+,,,,,,2023,7/8/23,Twiggs,CGA,Hair Snare,4,6,,,,32.60175,-83.50735,,
274,280,280-23,UGA_173101_P004_WE03,HS 127,4,7/8/23,T,10+,,,,,,2023,7/8/23,Twiggs,CGA,Hair Snare,4,6,,,,32.60175,-83.50735,,
275,281,281-23,UGA_173101_P004_WB01,HS 051,4,7/6/23,B,10+,,,,,,2023,7/6/23,Houston,CGA,Hair Snare,4,5,,,,32.50791,-83.54721,,
276,282,282-23,UGA_173101_P004_WC01,HS 017,2,6/21/23,T,10+,,,,,,2023,6/21/23,Houston,CGA,Hair Snare,4,5,,,,32.40415,-83.54735,,
277,283,283-23,UGA_173101_P004_WD01,HS 068,4,7/8/23,T,10+,,,,,,2023,7/8/23,Bleckley,CGA,Hair Snare,4,8,,,,32.43761,-83.46568,,
278,284,284-23,UGA_173101_P004_WE01,HS 030,1,6/14/23,T,10+,,,,,,2023,6/14/23,Houston,CGA,Hair Snare,4,10,,,,32.45655,-83.54399,,
279,285,285-23,UGA_173101_P004_WF01,HS 071,4,7/5/23,T,10+,,,,,,2023,7/5/23,Bleckley,CGA,Hair Snare,4,10,,,,32.45016,-83.47970,,
280,286,286-23,UGA_173101_P004_WG01,HS 028,2,6/21/23,T,6 to 10,,,,,,2023,6/21/23,Houston,CGA,Hair Snare,4,5,,,,32.45919,-83.57036,,
281,287,287-23,UGA_173101_P004_WH01,HS 007,3,6/29/23,T,10+,,,,,,2023,6/29/23,Houston,CGA,Hair Snare,4,7,,,,32.41777,-83.60471,,
282,288,288-23,UGA_173101_P004_WA02,HS 096,5,7/15/23,T,6 to 10,,,,,,2023,7/15/23,Twiggs,CGA,Hair Snare,4,6,,,,32.51902,-83.43392,,
283,289,289-23,UGA_173101_P004_WB02,HS 027,4,7/4/23,T,10+,,,,,,2023,7/4/23,Houston,CGA,Hair Snare,4,10,,,,32.44472,-83.50545,,
284,290,290-23,UGA_173101_P004_WC02,HS 071,7,7/26/23,T,10+,,,,,,2023,7/26/23,Bleckley,CGA,Hair Snare,4,8,,,,32.45016,-83.47970,,
285,291,291-23,UGA_173101_P004_WD02,HS 071,4,7/5/23,B,6 to 10,,,,,,2023,7/5/23,Bleckley,CGA,Hair Snare,4,6,,,,32.45016,-83.47970,,
286,292,292-23,UGA_173101_P004_WE02,HS 032,4,7/5/23,B,10+,,,,,,2023,7/5/23,Houston,CGA,Hair Snare,4,10,,,,32.45173,-83.51407,,
287,293,293-23,UGA_173101_P004_WF02,HS 047,4,7/6/23,T,10+,,,,,,2023,7/6/23,Houston,CGA,Hair Snare,4,5,,,,32.49640,-83.55613,,
288,294,294-23,UGA_173101_P004_WG02,HS 126,2,6/22/23,T,6 to 10,,,,,,2023,6/22/23,Twiggs,CGA,Hair Snare,4,5,,,,32.59076,-83.44125,,
289,295,295-23,UGA_173101_P004_WH02,HS 096,7,7/29/23,T,6 to 10,,,,,,2023,7/29/23,Twiggs,CGA,Hair Snare,4,5,,,,32.51902,-83.43392,,
290,296,296-23,UGA_173101_P004_WA03,HS 126,4,7/6/23,B,10+,,,,,,2023,7/6/23,Twiggs,CGA,Hair Snare,4,13,,,,32.59076,-83.44125,,
