Sample..,RandomID,Hair.ID,Rapid.Genomics.ID,Site.ID,Week,Check.Date,Strand,Sample.Quality,DNR.ID,Database.ID,PIT.Tag,Bear,Sex,Year,Date,County,Region,What,Plate,Follicles,Abnormalitiy.,Comments,Address,Latitude,Longitude,X,X.1
474,605,605-23,UGA_173101_P006_WD03,HS 44,3,6/17/2023,T,6-10,,,,,,2023,6/17/2023,Houston,CGA,Hair Snare,6,5,,Not Good Follicles,,32.48715,-83.51058,,
475,485,485-23,UGA_173101_P006_WE03,HS 036,3,6/27/2023,B,10+,,,,,,2023,6/27/2023,Houston,CGA,Hair Snare,6,8,,,,32.46985,-83.55593,,
477,487,487-23,UGA_173101_P006_WG03,HS 030,3,6/28/2023,T,6 to 10,,,,,,2023,6/28/2023,Houston,CGA,Hair Snare,6,8,,,,32.45655,-83.54399,,
483,493,493-23,UGA_173101_P006_WE04,HS 101,5,7/14/2023,T,10+,,,,,,2023,7/14/2023,Twiggs,CGA,Hair Snare,6,10,,,,32.50851,-83.39172,,
487,497,497-23,UGA_173101_P006_WA05,HS 044,6,7/18/2023,T,6 to 10,,,,,,2023,7/18/2023,Houston,CGA,Hair Snare,6,6,,,,32.48715,-83.51058,,
488,498,498-23,UGA_173101_P006_WB05,HS 116,4,7/6/2023,T,10+,,,,,,2023,7/6/2023,Twiggs,CGA,Hair Snare,6,8,,,,32.5593,-83.45468,,
489,499,499-23,UGA_173101_P006_WD05,HS 030,3,6/28/2023,T,10+,,,,,,2023,6/28/2023,Houston,CGA,Hair Snare,6,6,,Not Good Follicles,,32.45655,-83.54399,,
491,600,600-23,UGA_173101_P006_WF05,HS 005,3,6/29/2023,T,6 to 10,,,,,,2023,6/29/2023,Houston,CGA,Hair Snare,6,8,,,,32.40774,-83.62762,,
499,747,747-23,UGA_173101_P006_WG06,HS 023,5,7/11/2023,B,10+,,,,,,2023,7/11/2023,Houston,CGA,Hair Snare,6,6,,Not Good Follicles,,32.41457,-83.4866,,
500,787,787-23,UGA_173101_P006_WH06,HS 063,6,7/22/2023,B,6 to 10,,,,,,2023,7/22/2023,Bleckley,CGA,Hair Snare,6,5,,,,32.40262,-83.48999,,
507,507,7-24,UGA_173101_P006_WG07,HS 065,7,7/24/2024,T,6 to 10,,,,,,2024,7/24/2024,Bleckley,CGA,Hair Snare,6,8,,,,32.42075,-83.45467,,
513,513,15-24,UGA_173101_P006_WF08,HS 086,4,7/3/2024,T,6 to 10,,,,,,2024,7/3/2024,Twiggs,CGA,Hair Snare,6,8,,Not Good Follicles,,32.5018,-83.48859,,
515,515,17-24,UGA_173101_P006_WH08,HS 061,3,6/26/2024,T,10+,,,,,,2024,6/26/2024,Pulaski,CGA,Hair Snare,6,8,,,,32.38099,-83.49592,,
518,518,22-24,UGA_173101_P006_WA09,HS 034,7,7/25/2024,T,10+,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,6,7,,Not Good Follicles,,32.46086,-83.50418,,
516,516,18-24,UGA_173101_P006_WB09,HS 027,1,6/13/2024,T,6 to 10,,,,,,2024,6/13/2024,Houston,CGA,Hair Snare,6,8,,,,32.44472,-83.50545,,
519,519,23-24,UGA_173101_P006_WE09,HS 051,7,7/25/2024,T,6 to 10,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,6,8,,,,32.50791,-83.54721,,
521,521,25-24,UGA_173101_P006_WG09,HS 033,6,7/18/2024,T,6 to 10,,,,,,2024,7/18/2024,Houston,CGA,Hair Snare,6,1,,Only One Hair - Cut into several pieces,,32.458,-83.52334,,
526,526,31-24,UGA_173101_P006_WD10,HS 043,7,7/25/2024,T,6 to 10,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,6,6,,,,32.48799,-83.54105,,
528,528,33-24,UGA_173101_P006_WF10,HS 050,4,7/4/2024,T,10+,,,,,,2024,7/4/2024,Houston,CGA,Hair Snare,6,9,,,,32.50752,-83.55628,,
530,530,35-24,UGA_173101_P006_WH10,HS 068,1,6/12/2024,T,6 to 10,,,,,,2024,6/12/2024,Bleckley,CGA,Hair Snare,6,5,,Not Good Follicles,,32.43761,-83.46568,,
531,531,36-24,UGA_173101_P006_WA11,HS 143,3,6/25/2024,T,6 to 10,,,,,,2024,6/25/2024,Twiggs,CGA,Hair Snare,6,6,,,,32.61895,-83.44927,,
536,536,41-24,UGA_173101_P006_WF11,HS 035,4,7/4/2024,B,6 to 10,,,,,,2024,7/4/2024,Houston,CGA,Hair Snare,6,6,,Not Good Follicles,,32.47084,-83.57342,,
539,539,44-24,UGA_173101_P006_WA12,HS 024,6,7/18/2024,B,6 to 10,,,,,,2024,7/18/2024,Houston,CGA,Hair Snare,6,9,,,,32.42724,-83.49291,,
541,541,46-24,UGA_173101_P006_WC12,HS 033,6,7/18/2024,T,6 to 10,,,,,,2024,7/18/2024,Houston,CGA,Hair Snare,6,8,,,,32.458,-83.52334,,
542,542,47-24,UGA_173101_P006_WD12,HS 123,6,7/16/2024,T,6 to 10,,,,,,2024,7/16/2024,Twiggs,CGA,Hair Snare,6,5,,,,32.57586,-83.44059,,
547,547,52-24,UGA_173101_P007_WA01,HS 066,5,7/10/2024,T,10+,,,,,,2024,7/10/2024,Bleckley,CGA,Hair Snare,7,10,,,,32.42799,-83.46671,,
553,553,58-24,UGA_173101_P007_WB02,HS 026,6,7/18/2024,B,10+,,,,,,2024,7/18/2024,Houston,CGA,Hair Snare,7,7,,,,32.44461,-83.52258,,
555,555,60-24,UGA_173101_P007_WA02,HS 051,1,6/13/2024,T,10+,,,,,,2024,6/13/2024,Houston,CGA,Hair Snare,7,6,,,,32.50791,-83.54721,,
563,563,68-24,UGA_173101_P007_WB03,HS 030,2,6/20/2024,T,10+,,,,,,2024,6/20/2024,Houston,CGA,Hair Snare,7,18,,,,32.45655,-83.54399,,
577,577,82-24,UGA_173101_P007_WA05,HS 142,6,7/16/2024,T,10+,,,,,,2024,7/16/2024,Twiggs,CGA,Hair Snare,7,6,,,,32.60973,-83.44509,,
578,578,83-24,UGA_173101_P007_WB05,HS 023,2,6/20/2024,T,6 to 10,,,,,,2024,6/20/2024,Houston,CGA,Hair Snare,7,6,,,,32.41457,-83.4866,,
584,584,89-24,UGA_173101_P007_WH05,HS 066,7,7/24/2024,T,10+,,,,,,2024,7/24/2024,Bleckley,CGA,Hair Snare,7,6,,,,32.42799,-83.46671,,
586,586,91-24,UGA_173101_P007_WB06,HS 033,7,7/25/2024,T,10+,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,7,7,,,,32.458,-83.52334,,
600,600,105-24,UGA_173101_P007_WB08,HS 067,1,6/12/2024,T,10+,,,,,,2024,6/12/2024,Bleckley,CGA,Hair Snare,7,3,,,,32.43231,-83.45388,,
588,588,93-24,UGA_173101_P007_WE06,HS 032,7,7/25/2024,T,6 to 10,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,7,5,,,,32.45173,-83.51407,,
590,590,95-24,UGA_173101_P007_WG06,HS 008,7,7/23/2024,T,10+,,,,,,2024,7/23/2024,Houston,CGA,Hair Snare,7,5,,,,32.41673,-83.5929,,
592,592,97-24,UGA_173101_P007_WB07,HS 085,5,7/10/2024,T,6 to 10,,,,,,2024,7/10/2024,Twiggs,CGA,Hair Snare,7,7,,,,32.50086,-83.50836,,
593,593,98-24,UGA_173101_P007_WC07,HS 032,7,7/25/2024,T,6 to 10,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,7,7,,,,32.45173,-83.51407,,
595,595,100-24,UGA_173101_P007_WE07,HS 034,1,6/13/2024,B,10+,,,,,,2024,6/13/2024,Houston,CGA,Hair Snare,7,10,,hog hair?,,32.46086,-83.50418,,
599,599,104-24,UGA_173101_P007_WA08,HS 045,4,7/4/2024,T,6 to 10,,,,,,2024,7/4/2024,Houston,CGA,Hair Snare,7,5,,,,32.49782,-83.57367,,
601,601,106-24,UGA_173101_P007_WC08,HS 026,6,7/18/2024,B,6 to 10,,,,,,2024,7/18/2024,Houston,CGA,Hair Snare,7,4,,,,32.44461,-83.52258,,
602,602,107-24,UGA_173101_P007_WD08,HS 141,5,7/9/2024,T,10+,,,,,,2024,7/9/2024,Twiggs,CGA,Hair Snare,7,4,,,,32.61055,-83.42669,,
603,603,108-24,UGA_173101_P007_WE08,HS 027,1,6/13/2024,B,6 to 10,,,,,,2024,6/13/2024,Houston,CGA,Hair Snare,7,6,,,,32.44472,-83.50545,,
605,605,111-24,UGA_173101_P007_WG08,HS 044,1,6/13/2024,B,10+,,,,,,2024,6/13/2024,Houston,CGA,Hair Snare,7,8,,,,32.48715,-83.51058,,
608,608,114-24,UGA_173101_P007_WB09,HS 103,5,7/12/2024,T,10+,,,,,,2024,7/12/2024,Twiggs,CGA,Hair Snare,7,6,,,,32.51699,-83.40767,,
611,611,117-24,UGA_173101_P007_WE09,HS 037,7,7/25/2024,T,6 to 10,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,7,4,,,,32.47273,-83.53941,,
613,613,119-24,UGA_173101_P007_WG09,HS 053,4,7/3/2024,T,10+,,,,,,2024,7/3/2024,Pulaski,CGA,Hair Snare,7,7,,,,32.34322,-83.48255,,
614,614,120-24,UGA_173101_P007_WH09,HS 083,2,6/19/2024,T,10+,,,,,,2024,6/19/2024,Twiggs,CGA,Hair Snare,7,5,,,,32.48451,-83.48462,,
616,616,122-24,UGA_173101_P007_WB10,HS 033,6,7/18/2024,T,6 to 10,,,,,,2024,7/18/2024,Houston,CGA,Hair Snare,7,8,,,,32.458,-83.52334,,
618,618,124-24,UGA_173101_P007_WD10,HS 061,3,6/26/2024,T,10+,,,,,,2024,6/26/2024,Pulaski,CGA,Hair Snare,7,15,,,,32.38099,-83.49592,,
620,620,126-24,UGA_173101_P007_WF10,HS 123,3,6/25/2024,T,10+,,,,,,2024,6/25/2024,Twiggs,CGA,Hair Snare,7,10,,,,32.57586,-83.44059,,
623,623,129-24,UGA_173101_P007_WA11,HS 076,7,7/24/2024,T,6 to 10,,,,,,2024,7/24/2024,Bleckley,CGA,Hair Snare,7,6,,,,32.47301,-83.43739,,
626,626,132-24,UGA_173101_P007_WD11,HS 031,3,6/27/2024,T,6 to 10,,,,,,2024,6/27/2024,Houston,CGA,Hair Snare,7,4,,,,32.45188,-83.53431,,
630,630,136-24,UGA_173101_P007_WA12,HS 024,2,6/20/2024,B,10+,,,,,,2024,6/20/2024,Houston,CGA,Hair Snare,7,12,,,,32.42724,-83.49291,,
631,631,137-24,UGA_173101_P007_WB12,HS 038,1,6/13/2024,B,6 to 10,,,,,,2024,6/13/2024,Houston,CGA,Hair Snare,7,5,,,,32.47396,-83.50776,,
632,632,138-24,UGA_173101_P007_WC12,HS 001,7,7/23/2024,T,10+,,,,,,2024,7/23/2024,Houston,CGA,Hair Snare,7,20,,,,32.38816,-83.67687,,
636,636,142-24,UGA_173101_P007_WG12,HS 025,2,6/20/2024,B,10+,,,,,,2024,6/20/2024,Houston,CGA,Hair Snare,7,18,,,,32.43851,-83.49664,,
637,637,143-24,UGA_173101_P007_WH12,HS 031,3,6/27/2024,T,10+,,,,,,2024,6/27/2024,Houston,CGA,Hair Snare,7,9,,,,32.45188,-83.53431,,
638,638,144-24,UGA_173101_P008_WA01,HS 001,7,7/23/2024,B,10+,,,,,,2024,7/23/2024,Houston,CGA,Hair Snare,8,10,,,,32.38816,-83.67687,,
639,639,145-24,UGA_173101_P008_WB01,HS 023,2,6/20/2024,T,10+,,,,,,2024,6/20/2024,Houston,CGA,Hair Snare,8,14,,,,32.41457,-83.4866,,
642,642,148-24,UGA_173101_P008_WE01,HS 043,7,7/25/2024,T,10+,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,8,12,,,,32.48799,-83.54105,,
644,644,150-24,UGA_173101_P008_WH01,HS 077,5,7/9/2024,T,6 to 10,,,,,,2024,7/9/2024,Twiggs,CGA,Hair Snare,8,6,,,,32.48167,-83.46453,,
645,645,151-24,UGA_173101_P008_WA02,HS 012,3,6/24/2024,T,10+,,,,,,2024,6/24/2024,Houston,CGA,Hair Snare,8,13,,,,32.39073,-83.56828,,
647,647,153-24,UGA_173101_P008_WC02,HS 110,1,6/10/2024,T,10+,,,,,,2024,6/10/2024,Twiggs,CGA,Hair Snare,8,11,,,,32.54697,-83.47593,,
650,650,156-24,UGA_173101_P008_WF02,HS 045,5,7/11/2024,T,6 to 10,,,,,,2024,7/11/2024,Houston,CGA,Hair Snare,8,9,,,,32.49782,-83.57367,,
653,653,159-24,UGA_173101_P008_WB03,HS 021,2,6/20/2024,T,6 to 10,,,,,,2024,6/20/2024,Houston,CGA,Hair Snare,8,10,,,,32.41182,-83.50189,,
655,655,161-24,UGA_173101_P008_WD03,HS 105,2,6/21/2024,T,10+,,,,,,2024,6/21/2024,Twiggs,CGA,Hair Snare,8,20,,,,32.53205,-83.40229,,
658,658,164-24,UGA_173101_P008_WG03,HS 071,5,7/10/2024,T,6 to 10,,,,,,2024,7/10/2024,Bleckley,CGA,Hair Snare,8,5,,,,32.45016,-83.4797,,
662,662,168-24,UGA_173101_P008_WC04,HS 046,5,7/11/2024,T,6 to 10,,,,,,2024,7/11/2024,Houston,CGA,Hair Snare,8,7,,,,32.50079,-83.56544,,
665,665,171-24,UGA_173101_P008_WF04,HS 061,3,6/26/2024,T,10+,,,,,,2024,6/26/2024,Pulaski,CGA,Hair Snare,8,8,,,,32.38099,-83.49592,,
669,669,175-24,UGA_173101_P008_WB05,HS 032,7,7/25/2024,T,6 to 10,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,8,5,,,,32.45173,-83.51407,,
670,670,176-24,UGA_173101_P008_WC05,HS 086,4,7/3/2024,T,10+,,,,,,2024,7/3/2024,Twiggs,CGA,Hair Snare,8,20,,,,32.5018,-83.48859,,
671,671,177-24,UGA_173101_P008_WD05,HS 030,1,6/13/2024,B,10+,,,,,,2024,6/13/2024,Houston,CGA,Hair Snare,8,14,,,,32.45655,-83.54399,,
673,673,179-24,UGA_173101_P008_WF05,HS 031,7,7/25/2024,T,6 to 10,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,8,9,,,,32.45188,-83.53431,,
677,677,183-24,UGA_173101_P008_WB06,HS 050,1,6/13/2024,T,6 to 10,,,,,,2024,6/13/2024,Houston,CGA,Hair Snare,8,11,,,,32.50752,-83.55628,,
679,679,185-24,UGA_173101_P008_WD06,HS 001,7,7/23/2024,B,6 to 10,,,,,,2024,7/23/2024,Houston,CGA,Hair Snare,8,9,,,,32.38816,-83.67687,,
681,681,187-24,UGA_173101_P008_WF06,HS 027,2,6/20/2024,B,6 to 10,,,,,,2024,6/20/2024,Houston,CGA,Hair Snare,8,9,,,,32.44472,-83.50545,,
682,682,188-24,UGA_173101_P008_WG06,HS 065,7,7/24/2024,B,6 to 10,,,,,,2024,7/24/2024,Bleckley,CGA,Hair Snare,8,8,,,,32.42075,-83.45467,,
684,684,190-24,UGA_173101_P008_WA07,HS 139,2,6/18/2024,T,10+,,,,,,2024,6/18/2024,Twiggs,CGA,Hair Snare,8,10,,,,32.54836,-83.40818,,
685,685,191-24,UGA_173101_P008_WB07,HS 077,7,7/24/2024,T,6 to 10,,,,,,2024,7/24/2024,Twiggs,CGA,Hair Snare,8,10,,,,32.48167,-83.46453,,
686,686,192-24,UGA_173101_P008_WC07,HS 120,5,7/8/2024,B,6 to 10,,,,,,2024,7/8/2024,Twiggs,CGA,Hair Snare,8,20,,,,32.57003,-83.50392,,
687,687,193-24,UGA_173101_P008_WD07,HS 089,6,7/17/2024,T,6 to 10,,,,,,2024,7/17/2024,Twiggs,CGA,Hair Snare,8,11,,,,32.50342,-83.4374,,
689,689,195-24,UGA_173101_P008_WF07,HS 037,7,7/25/2024,T,6 to 10,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,8,11,,,,32.47273,-83.53941,,
691,691,197-24,UGA_173101_P008_WH07,HS 028,6,7/18/2024,T,6 to 10,,,,,,2024,7/18/2024,Houston,CGA,Hair Snare,8,8,,,,32.45919,-83.57036,,
693,693,199-24,UGA_173101_P008_WC08,HS 065,2,6/19/2024,T,6 to 10,,,,,,2024,6/19/2024,Bleckley,CGA,Hair Snare,8,11,,,,32.42075,-83.45467,,
695,695,201-24,UGA_173101_P008_WE08,HS 046,4,7/4/2024,T,10+,,,,,,2024,7/4/2024,Houston,CGA,Hair Snare,8,20,,,,32.50079,-83.56544,,
697,697,203-24,UGA_173101_P008_WH08,HS 035,3,6/27/2024,B,10+,,,,,,2024,6/27/2024,Houston,CGA,Hair Snare,8,14,,,,32.47084,-83.57342,,
699,699,205-24,UGA_173101_P008_WB09,HS 123,6,7/16/2024,T,6 to 10,,,,,,2024,7/16/2024,Twiggs,CGA,Hair Snare,8,13,,,,32.57586,-83.44059,,
702,702,208-24,UGA_173101_P008_WE09,HS 005,2,6/18/2024,B,6 to 10,,,,,,2024,6/18/2024,Houston,CGA,Hair Snare,8,5,,,,32.40774,-83.62762,,
703,703,209-24,UGA_173101_P008_WF09,HS 103,5,7/12/2024,T,10+,,,,,,2024,7/12/2024,Twiggs,CGA,Hair Snare,8,15,,,,32.51699,-83.40767,,
708,708,214-24,UGA_173101_P008_WC10,HS 123,2,6/18/2024,B,6 to 10,,,,,,2024,6/18/2024,Twiggs,CGA,Hair Snare,8,8,,,,32.57586,-83.44059,,
710,710,216-24,UGA_173101_P008_WE10,HS 049,7,7/25/2024,T,10+,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,8,20,,,,32.49703,-83.52477,,
714,714,220-24,UGA_173101_P008_WA11,HS 141,2,6/18/2024,T,6 to 10,,,,,,2024,6/18/2024,Twiggs,CGA,Hair Snare,8,9,,,,32.61055,-83.42669,,
716,716,222-24,UGA_173101_P008_WD11,HS 071,5,7/10/2024,T,6 to 10,,,,,,2024,7/10/2024,Bleckley,CGA,Hair Snare,8,7,,,,32.45016,-83.4797,,
717,717,223-24,UGA_173101_P008_WE11,HS 025,7,7/25/2024,T,10+,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,8,14,,,,32.43851,-83.49664,,
719,719,225-24,UGA_173101_P008_WG11,HS 077,7,7/24/2024,T,6 to 10,,,,,,2024,7/24/2024,Twiggs,CGA,Hair Snare,8,15,,,,32.48167,-83.46453,,
721,721,227-24,UGA_173101_P008_WA12,HS 080,2,6/19/2024,T,10+,,,,,,2024,6/19/2024,Bleckley,CGA,Hair Snare,8,20,,,,32.42161,-83.43471,,
722,722,228-24,UGA_173101_P008_WB12,HS 051,2,6/20/2024,T,6 to 10,,,,,,2024,6/20/2024,Houston,CGA,Hair Snare,8,7,,,,32.50791,-83.54721,,
724,724,230-24,UGA_173101_P008_WD12,HS 120,5,7/8/2024,T,6 to 10,,,,,,2024,7/8/2024,Twiggs,CGA,Hair Snare,8,10,,,,32.57003,-83.50392,,
725,725,231-24,UGA_173101_P008_WE12,HS 025,3,6/27/2024,T,6 to 10,,,,,,2024,6/27/2024,Houston,CGA,Hair Snare,8,12,,,,32.43851,-83.49664,,
732,732,238-24,UGA_173101_P009_WD01,HS 027,1,6/13/2024,B,10+,,,,,,2024,6/13/2024,Houston,CGA,Hair Snare,9,5,,,,32.44472,-83.50545,,
733,733,239-24,UGA_173101_P009_WE01,HS 120,5,7/8/2024,T,6 to 10,,,,,,2024,7/8/2024,Twiggs,CGA,Hair Snare,9,7,,,,32.57003,-83.50392,,
741,741,247-24,UGA_173101_P009_WE02,HS 001,7,7/23/2024,B,6 to 10,,,,,,2024,7/23/2024,Houston,CGA,Hair Snare,9,5,,,,32.38816,-83.67687,,
745,745,251-24,UGA_173101_P009_WA03,HS 033,7,7/25/2024,B,10+,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,9,7,,,,32.458,-83.52334,,
746,746,252-24,UGA_173101_P009_WB03,HS 038,6,7/18/2024,T,6 to 10,,,,,,2024,7/18/2024,Houston,CGA,Hair Snare,9,5,,,,32.47396,-83.50776,,
752,752,258-24,UGA_173101_P009_WH03,HS 065,2,6/19/2024,T,10+,,,,,,2024,6/19/2024,Bleckley,CGA,Hair Snare,9,10,,,,32.42075,-83.45467,,
753,753,259-24,UGA_173101_P009_WA04,HS 105,2,6/21/2024,T,10+,,,,,,2024,6/21/2024,Twiggs,CGA,Hair Snare,9,6,,,,32.53205,-83.40229,,
754,754,260-24,UGA_173101_P009_WB04,HS 001,4,7/2/2024,B,6 to 10,,,,,,2024,7/2/2024,Houston,CGA,Hair Snare,9,3,,,,32.38816,-83.67687,,
759,759,266-24,UGA_173101_P009_WH04,HS 123,5,7/9/2024,T,6 to 10,,,,,,2024,7/9/2024,Twiggs,CGA,Hair Snare,9,4,,,,32.57586,-83.44059,,
760,760,267-24,UGA_173101_P009_WA05,HS 139,2,6/18/2024,T,10+,,,,,,2024,6/18/2024,Twiggs,CGA,Hair Snare,9,5,,,,32.54836,-83.40818,,
764,764,271-24,UGA_173101_P009_WF05,HS 030,6,7/18/2024,B,10+,,,,,,2024,7/18/2024,Houston,CGA,Hair Snare,9,10,,,,32.45655,-83.54399,,
766,766,273-24,UGA_173101_P009_WH05,HS 065,7,7/24/2024,T,6 to 10,,,,,,2024,7/24/2024,Bleckley,CGA,Hair Snare,9,6,,,,32.42075,-83.45467,,
769,769,276-24,UGA_173101_P009_WC06,HS 042,6,7/18/2024,T,10+,,,,,,2024,7/18/2024,Houston,CGA,Hair Snare,9,10,,,,32.48712,-83.55912,,
773,773,280-24,UGA_173101_P009_WG06,HS 049,1,6/13/2024,T,10+,,,,,,2024,6/13/2024,Houston,CGA,Hair Snare,9,9,,,,32.49703,-83.52477,,
775,775,282-24,UGA_173101_P009_WA07,HS 080,2,6/19/2024,T,10+,,,,,,2024,6/19/2024,Bleckley,CGA,Hair Snare,9,12,,,,32.42161,-83.43471,,
777,777,284-24,UGA_173101_P009_WC07,HS 120,5,7/8/2024,T,10+,,,,,,2024,7/8/2024,Twiggs,CGA,Hair Snare,9,9,,,,32.57003,-83.50392,,
780,780,287-24,UGA_173101_P009_WF07,HS 123,2,6/18/2024,T,10+,,,,,,2024,6/18/2024,Twiggs,CGA,Hair Snare,9,10,,,,32.57586,-83.44059,,
781,781,288-24,UGA_173101_P009_WG07,HS 031,5,7/11/2024,T,6 to 10,,,,,,2024,7/11/2024,Houston,CGA,Hair Snare,9,7,,,,32.45188,-83.53431,,
782,782,289-24,UGA_173101_P009_WH07,HS 038,1,6/13/2024,B,6 to 10,,,,,,2024,6/13/2024,Houston,CGA,Hair Snare,9,3,,,,32.47396,-83.50776,,
783,783,290-24,UGA_173101_P009_WA08,HS 096,7,7/22/2024,B,6 to 10,,,,,,2024,7/22/2024,Twiggs,CGA,Hair Snare,9,5,,,,32.51902,-83.43392,,
784,784,291-24,UGA_173101_P009_WB08,HS 033,7,7/25/2024,T,10+,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,9,10,,,,32.458,-83.52334,,
791,791,298-24,UGA_173101_P009_WB09,HS 045,1,6/13/2024,T,10+,,,,,,2024,6/13/2024,Houston,CGA,Hair Snare,9,17,,,,32.49782,-83.57367,,
792,792,299-24,UGA_173101_P009_WC09,HS 043,7,7/25/2024,T,10+,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,9,6,,,,32.48799,-83.54105,,
793,793,300-24,UGA_173101_P009_WD09,HS 024,7,7/25/2024,T,10+,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,9,10,,,,32.42724,-83.49291,,
794,794,301-24,UGA_173101_P009_WE09,HS 030,2,6/20/2024,T,10+,,,,,,2024,6/20/2024,Houston,CGA,Hair Snare,9,8,,,,32.45655,-83.54399,,
796,796,303-24,UGA_173101_P009_WH09,HS 118,1,6/14/2024,T,6 to 10,,,,,,2024,6/14/2024,Twiggs,CGA,Hair Snare,9,7,,,,32.56782,-83.52305,,
798,798,305-24,UGA_173101_P009_WB10,HS 086,4,7/3/2024,T,10+,,,,,,2024,7/3/2024,Twiggs,CGA,Hair Snare,9,20,,,,32.5018,-83.48859,,
800,800,307-24,UGA_173101_P009_WD10,HS 046,5,7/11/2024,T,6 to 10,,,,,,2024,7/11/2024,Houston,CGA,Hair Snare,9,7,,,,32.50079,-83.56544,,
804,804,311-24,UGA_173101_P009_WH10,HS 012,3,6/24/2024,T,6 to 10,,,,,,2024,6/24/2024,Houston,CGA,Hair Snare,9,4,,,,32.39073,-83.56828,,
805,805,312-24,UGA_173101_P009_WA11,HS 111,5,7/8/2024,B,10+,,,,,,2024,7/8/2024,Twiggs,CGA,Hair Snare,9,12,,,,32.55092,-83.45768,,
806,806,313-24,UGA_173101_P009_WB11,HS 076,5,7/10/2024,T,6 to 10,,,,,,2024,7/10/2024,Bleckley,CGA,Hair Snare,9,5,,,,32.47301,-83.43739,,
807,807,314-24,UGA_173101_P009_WC11,HS 142,2,6/18/2024,B,6 to 10,,,,,,2024,6/18/2024,Twiggs,CGA,Hair Snare,9,5,,,,32.60973,-83.44509,,
811,811,318-24,UGA_173101_P009_WG11,HS 025,7,7/25/2024,T,10+,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,9,13,,,,32.43851,-83.49664,,
812,812,320-24,UGA_173101_P009_WH11,HS 024,3,6/27/2024,T,10+,,,,,,2024,6/27/2024,Houston,CGA,Hair Snare,9,10,,,,32.42724,-83.49291,,
814,814,322-24,UGA_173101_P009_WB12,HS 017,6,7/16/2024,B,6 to 10,,,,,,2024,7/16/2024,Houston,CGA,Hair Snare,9,2,,,,32.40415,-83.54735,,
817,817,325-24,UGA_173101_P009_WC12,HS 031,3,6/27/2024,T,10+,,,,,,2024,6/27/2024,Houston,CGA,Hair Snare,9,5,,,,32.45188,-83.53431,,
819,819,327-24,UGA_173101_P009_WH12,HS 016,7,7/23/2024,T,6 to 10,,,,,,2024,7/23/2024,Houston,CGA,Hair Snare,9,3,,,,32.39782,-83.53582,,
820,820,328-24,UGA_173101_P010_WA01,HS 082,6,7/17/2024,T,6 to 10,,,,,,2024,7/17/2024,Bleckley,CGA,Hair Snare,10,13,,,,32.4462,-83.43379,,
821,821,329-24,UGA_173101_P010_WB01,HS 034,7,7/25/2024,B,6 to 10,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,10,6,,,,32.46086,-83.50418,,
822,822,330-24,UGA_173101_P010_WC01,HS 087,5,7/8/2024,T,6 to 10,,,,,,2024,7/8/2024,Twiggs,CGA,Hair Snare,10,4,,,,32.50133,-83.47207,,
824,824,332-24,UGA_173101_P010_WE01,HS 066,1,6/12/2024,T,6 to 10,,,,,,2024,6/12/2024,Bleckley,CGA,Hair Snare,10,15,,,,32.42799,-83.46671,,
834,834,342-24,UGA_173101_P010_WG02,HS 027,3,6/27/2024,B,10+,,,,,,2024,6/27/2024,Houston,CGA,Hair Snare,10,7,,,,32.44472,-83.50545,,
836,836,344-24,UGA_173101_P010_WA03,HS 033,6,7/18/2024,B,6 to 10,,,,,,2024,7/18/2024,Houston,CGA,Hair Snare,10,15,,,,32.458,-83.52334,,
837,837,345-24,UGA_173101_P010_WB03,HS 032,7,7/25/2024,B,10+,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,10,11,,,,32.45173,-83.51407,,
844,844,352-24,UGA_173101_P010_WB04,HS 086,4,7/3/2024,B,10+,,,,,,2024,7/3/2024,Twiggs,CGA,Hair Snare,10,20,,,,32.5018,-83.48859,,
845,845,353-24,UGA_173101_P010_WC04,HS 033,7,7/25/2024,T,10+,,,,,,2024,7/25/2024,Houston,CGA,Hair Snare,10,20,,,,32.458,-83.52334,,
846,846,354-24,UGA_173101_P010_WD04,HS 080,1,6/12/2024,T,10+,,,,,,2024,6/12/2024,Bleckley,CGA,Hair Snare,10,9,,,,32.42161,-83.43471,,
